States,Jan & July Public Assist. Participation,Jan & July Non-Public Assist. Participation,Jan & July TOTAL Assist. Participation,CountyState
KY,2066,37556,39622,Livingston County Kentucky
TN,1615,11012,12627,Logan County Tennessee
GA,1013,9147,10160,McDonough County Georgia
IL,95,6633,6728,McHenry County Illinois
KY,1397,35735,37132,McLean County Kentucky
TN,946,9191,10137,Macon County Tennessee
GA,2182,36822,39004,Macoupin County Georgia
IL,1264,34308,35572,Madison County Illinois
KY,2566,63410,65976,Marion County Kentucky
TN,2115,36866,38981,Marshall County Tennessee
GA,1860,11540,13400,Mason County Georgia
IL,942,9026,9968,Massac County Illinois
KY,2244,38128,40372,Menard County Kentucky
TN,1793,11584,13377,Mercer County Tennessee
GA,7485,26797,34282,Monroe County Georgia
KY,3841,26334,30175,Montgomery County Kentucky
GA,4107,26659,30766,Morgan County Georgia
KY,463,26196,26659,Moultrie County Kentucky
GA,2036,13220,15256,Ogle County Georgia
NC,12384,40911,53295,Peoria County North Carolina
GA,6336,44620,50956,Perry County Georgia
NC,16684,72311,88995,Piatt County North Carolina
GA,1680,7032,8712,Pike County Georgia
IL,1014,11374,12388,Pope County Illinois
KS,1630,5772,7402,Pulaski County Kansas
KY,1104,10785,11889,Putnam County Kentucky
NC,2614,10730,13344,Randolph County North Carolina
TN,1730,8995,10725,Richland County Tennessee
GA,1017,11343,12360,Rock Island County Georgia
IL,351,15685,16036,St. Clair County Illinois
KS,967,10083,11050,Saline County Kansas
KY,441,15096,15537,Sangamon County Kentucky
NC,1951,15041,16992,Schuyler County North Carolina
TN,1067,13306,14373,Scott County Tennessee
GA,1670,5936,7606,Shelby County Georgia
IL,1004,10278,11282,Stark County Illinois
KS,1620,4676,6296,Stephenson County Kansas
KY,1094,9689,10783,Tazewell County Kentucky
NC,2604,9634,12238,Union County North Carolina
TN,1720,7899,9619,Vermilion County Tennessee
GA,1157,10768,11925,Wabash County Georgia
IL,491,15110,15601,Warren County Illinois
KS,1107,9508,10615,Washington County Kansas
KY,581,14521,15102,Wayne County Kentucky
NC,2091,14466,16557,White County North Carolina
TN,1207,12731,13938,Whiteside County Tennessee
GA,1699,11295,12994,Will County Georgia
IL,1033,15637,16670,Williamson County Illinois
KS,1649,10035,11684,Winnebago County Kansas
KY,1123,15048,16171,Woodford County Kentucky
NC,2633,14993,17626,Adams County North Carolina
TN,1749,13258,15007,Allen County Tennessee
GA,1859,9073,10932,Bartholomew County Georgia
IL,1193,13415,14608,Benton County Illinois
KS,1809,7813,9622,Blackford County Kansas
KY,1283,12826,14109,Boone County Kentucky
NC,2793,12771,15564,Brown County North Carolina
TN,1909,11036,12945,Carroll County Tennessee
GA,65894,264759,330653,Cass County Georgia
GA,1206,7265,8471,Clark County Georgia
GA,244,842,1086,Clay County Georgia
GA,4457,22188,26645,Clinton County Georgia
GA,3379,15801,19180,Crawford County Georgia
GA,2432,9171,11603,Daviess County Georgia
GA,1270,6134,7404,Dearborn County Georgia
IL,692,5032,5724,Decatur County Illinois
NC,1446,6319,7765,DeKalb County North Carolina
TN,2251,14143,16394,Delaware County Tennessee
GA,754,5227,5981,Dubois County Georgia
IL,176,4125,4301,Elkhart County Illinois
NC,930,5412,6342,Fayette County North Carolina
TN,1735,13236,14971,Floyd County Tennessee
GA,1140,6723,7863,Fountain County Georgia
IL,562,5621,6183,Franklin County Illinois
NC,1316,6908,8224,Fulton County North Carolina
TN,2121,14732,16853,Gibson County Tennessee
GA,2365,14056,16421,Grant County Georgia
IL,1787,12954,14741,Greene County Illinois
NC,2541,14241,16782,Hamilton County North Carolina
TN,3346,22065,25411,Hancock County Tennessee
GA,20653,152030,172683,Harrison County Georgia
GA,1733,9094,10827,Hendricks County Georgia
GA,7012,43073,50085,Henry County Georgia
GA,1140,3700,4840,Howard County Georgia
IL,597,3968,4565,Huntington County Illinois
KY,590,3024,3614,Jackson County Kentucky
TN,961,4010,4971,Jasper County Tennessee
GA,632,3937,4569,Jay County Georgia
IL,89,4205,4294,Jefferson County Illinois
KY,82,3261,3343,Jennings County Kentucky
TN,453,4247,4700,Johnson County Tennessee
GA,622,3079,3701,Knox County Georgia
IL,79,3347,3426,Kosciusko County Illinois
KY,72,2403,2475,LaGrange County Kentucky
TN,443,3389,3832,Lake County Tennessee
GA,996,4068,5064,LaPorte County Georgia
IL,453,4336,4789,Lawrence County Illinois
KY,446,3392,3838,Madison County Kentucky
TN,817,4378,5195,Marion County Tennessee
GA,2607,9000,11607,Marshall County Georgia
GA,727,4371,5098,Martin County Georgia
GA,2150,7292,9442,Miami County Georgia
KY,1127,7465,8592,Monroe County Kentucky
GA,1218,7622,8840,Montgomery County Georgia
KY,195,7795,7990,Morgan County Kentucky
GA,1128,4120,5248,Newton County Georgia
GA,7084,42183,49267,Noble County Georgia
IL,3739,24323,28062,Ohio County Illinois
KY,3562,22701,26263,Orange County Kentucky
TN,4468,26870,31338,Owen County Tennessee
GA,3791,25790,29581,Parke County Georgia
IL,446,7930,8376,Perry County Illinois
KY,269,6308,6577,Pike County Kentucky
TN,1175,10477,11652,Porter County Tennessee
GA,3648,24426,28074,Posey County Georgia
IL,303,6566,6869,Pulaski County Illinois
KY,126,4944,5070,Putnam County Kentucky
TN,1032,9113,10145,Randolph County Tennessee
GA,4659,28343,33002,Ripley County Georgia
IL,1314,10483,11797,Rush County Illinois
KY,1137,8861,9998,St. Joseph County Kentucky
TN,2043,13030,15073,Scott County Tennessee
GA,7896,34658,42554,Shelby County Georgia
GA,861,3666,4527,Spencer County Georgia
GA,1046,4997,6043,Starke County Georgia
GA,1429,5986,7415,Steuben County Georgia
GA,2569,6723,9292,Sullivan County Georgia
IL,1641,10855,12496,Switzerland County Illinois
KS,1579,4181,5760,Tippecanoe County Kansas
KY,7414,121618,129032,Tipton County Kentucky
TN,2088,13085,15173,Union County Tennessee
GA,1657,10542,12199,Vanderburgh County Georgia
IL,729,14674,15403,Vermillion County Illinois
KS,667,8000,8667,Vigo County Kansas
KY,6502,125437,131939,Wabash County Kentucky
TN,1176,16904,18080,Warren County Tennessee
GA,1626,4217,5843,Warrick County Georgia
IL,698,8349,9047,Washington County Illinois
KS,636,1675,2311,Wayne County Kansas
KY,6471,119112,125583,Wells County Kentucky
TN,1145,10579,11724,White County Tennessee
GA,7576,114974,122550,Whitley County Georgia
IL,6648,119106,125754,Adair County Illinois
KS,6586,112432,119018,Adams County Kansas
KY,12421,229869,242290,Allamakee County Kentucky
TN,7095,121336,128431,Appanoose County Tennessee
GA,2192,12975,15167,Audubon County Georgia
IL,1264,17107,18371,Benton County Illinois
KS,1202,10433,11635,Black Hawk County Kansas
KY,7037,127870,134907,Boone County Kentucky
TN,1711,19337,21048,Bremer County Tennessee
GA,1257,3867,5124,Buchanan County Georgia
GA,1223,3365,4588,Buena Vista County Georgia
GA,1449,6819,8268,Butler County Georgia
GA,1213,5573,6786,Calhoun County Georgia
GA,1005,3853,4858,Carroll County Georgia
GA,5276,19025,24301,Cass County Georgia
GA,882,6068,6950,Cedar County Georgia
IL,451,4659,5110,Cerro Gordo County Illinois
KY,526,5712,6238,Cherokee County Kentucky
GA,514,4832,5346,Chickasaw County Georgia
IL,83,3423,3506,Clarke County Illinois
KY,158,4476,4634,Clay County Kentucky
GA,604,5843,6447,Clayton County Georgia
IL,173,4434,4607,Clinton County Illinois
KY,248,5487,5735,Crawford County Kentucky
GA,2588,13952,16540,Dallas County Georgia
GA,598,2163,2761,Davis County Georgia
GA,987,4822,5809,Decatur County Georgia
GA,7712,35938,43650,Delaware County Georgia
GA,1281,7306,8587,Des Moines County Georgia
GA,2428,8520,10948,Dickinson County Georgia
GA,929,3786,4715,Dubuque County Georgia
GA,1424,4353,5777,Emmet County Georgia
GA,1986,7938,9924,Fayette County Georgia
GA,805,2871,3676,Floyd County Georgia
GA,2657,8161,10818,Franklin County Georgia
GA,781,2366,3147,Fremont County Georgia
GA,3114,10804,13918,Greene County Georgia
KS,1521,5285,6806,Grundy County Kansas
NC,1856,6801,8657,Guthrie County North Carolina
GA,1711,5954,7665,Hamilton County Georgia
KS,118,435,553,Hancock County Kansas
NC,453,1951,2404,Hardin County North Carolina
GA,1864,7686,9550,Harrison County Georgia
KS,271,2167,2438,Henry County Kansas
NC,606,3683,4289,Howard County North Carolina
GA,1254,5660,6914,Humboldt County Georgia
GA,752,2997,3749,Ida County Georgia
IL,408,5337,5745,Iowa County Illinois
KS,2026,5069,7095,Jackson County Kansas
KY,471,6920,7391,Jasper County Kentucky
TN,4209,20940,25149,Jefferson County Tennessee
GA,438,5195,5633,Johnson County Georgia
IL,94,7535,7629,Jones County Illinois
KS,1712,7267,8979,Keokuk County Kansas
KY,157,9118,9275,Kossuth County Kentucky
TN,3895,23138,27033,Lee County Tennessee
GA,2040,4891,6931,Linn County Georgia
IL,1696,7231,8927,Louisa County Illinois
KS,3314,6963,10277,Lucas County Kansas
KY,1759,8814,10573,Lyon County Kentucky
TN,5497,22834,28331,Madison County Tennessee
GA,488,6876,7364,Mahaska County Georgia
IL,144,9216,9360,Marion County Illinois
KS,1762,8948,10710,Marshall County Kansas
KY,207,10799,11006,Mills County Kentucky
TN,3945,24819,28764,Mitchell County Tennessee
GA,4497,19587,24084,Monona County Georgia
IL,4153,21927,26080,Monroe County Illinois
KS,5771,21659,27430,Montgomery County Kansas
KY,4216,23510,27726,Muscatine County Kentucky
TN,7954,37530,45484,O'Brien County Tennessee
GA,1026,5349,6375,Osceola County Georgia
IL,606,7364,7970,Page County Illinois
KY,671,6253,6924,Palo Alto County Kentucky
TN,953,7170,8123,Plymouth County Tennessee
GA,663,7159,7822,Pocahontas County Georgia
IL,243,9174,9417,Polk County Illinois
KY,308,8063,8371,Pottawattamie County Kentucky
TN,590,8980,9570,Poweshiek County Tennessee
GA,665,6363,7028,Ringgold County Georgia
IL,245,8378,8623,Sac County Illinois
KY,310,7267,7577,Scott County Kentucky
TN,592,8184,8776,Shelby County Tennessee
GA,1015,7089,8104,Sioux County Georgia
IL,595,9104,9699,Story County Illinois
KY,660,7993,8653,Tama County Kentucky
TN,942,8910,9852,Taylor County Tennessee
GA,2820,15633,18453,Union County Georgia
GA,16735,62938,79673,Van Buren County Georgia
GA,6578,33538,40116,Wapello County Georgia
GA,573,3139,3712,Warren County Georgia
GA,869,3569,4438,Washington County Georgia
GA,3755,24901,28656,Wayne County Georgia
GA,2503,10246,12749,Webster County Georgia
GA,1340,8018,9358,Winnebago County Georgia
GA,1612,6553,8165,Winneshiek County Georgia
GA,712,4387,5099,Woodbury County Georgia
IL,375,4196,4571,Worth County Illinois
KY,592,18194,18786,Wright County Kentucky
GA,388,4323,4711,Allen County Georgia
IL,51,4132,4183,Anderson County Illinois
KY,268,18130,18398,Atchison County Kentucky
GA,613,18273,18886,Barber County Georgia
IL,276,18082,18358,Barton County Illinois
KY,493,32080,32573,Bourbon County Kentucky
GA,4052,13892,17944,Brown County Georgia
GA,891,2779,3670,Butler County Georgia
IL,557,2872,3429,Chase County Illinois
KY,866,14025,14891,Chautauqua County Kentucky
GA,576,2933,3509,Cherokee County Georgia
IL,242,3026,3268,Cheyenne County Illinois
KY,551,14179,14730,Clark County Kentucky
GA,872,13661,14533,Clay County Georgia
IL,538,13754,14292,Cloud County Illinois
KY,847,24907,25754,Coffey County Kentucky
GA,1280,6790,8070,Comanche County Georgia
GA,385,974,1359,Cowley County Georgia
GA,849,3824,4673,Crawford County Georgia
GA,1015,2848,3863,Decatur County Georgia
GA,20662,80963,101625,Dickinson County Georgia
GA,4463,27883,32346,Doniphan County Georgia
GA,343,1357,1700,Douglas County Georgia
GA,1884,5095,6979,Edwards County Georgia
GA,1256,3780,5036,Elk County Georgia
GA,6126,28622,34748,Ellis County Georgia
GA,2992,9173,12165,Ellsworth County Georgia
GA,655,2157,2812,Finney County Georgia
GA,4485,16049,20534,Ford County Georgia
GA,737,2326,3063,Franklin County Georgia
GA,261,849,1110,Geary County Georgia
GA,2064,6106,8170,Gove County Georgia
GA,958,3178,4136,Graham County Georgia
GA,1438,4350,5788,Grant County Georgia
GA,1723,5288,7011,Gray County Georgia
GA,4414,14539,18953,Greeley County Georgia
GA,4017,17901,21918,Greenwood County Georgia
GA,3132,11794,14926,Hamilton County Georgia
GA,462,2362,2824,Harper County Georgia
GA,866,3039,3905,Harvey County Georgia
GA,6752,20182,26934,Haskell County Georgia
GA,502,2175,2677,Hodgeman County Georgia
GA,905,2798,3703,Jackson County Georgia
GA,917,5266,6183,Jefferson County Georgia
GA,3123,10293,13416,Jewell County Georgia
GA,4622,18919,23541,Johnson County Georgia
GA,4695,21614,26309,Kearny County Georgia
GA,3436,12248,15684,Kingman County Georgia
GA,850,2514,3364,Kiowa County Georgia
GA,2145,7535,9680,Labette County Georgia
IL,1072,4455,5527,Lane County Illinois
KS,1123,3878,5001,Leavenworth County Kansas
KY,1072,5512,6584,Lincoln County Kentucky
TN,3309,19597,22906,Linn County Tennessee
GA,1112,4709,5821,Logan County Georgia
IL,39,1629,1668,Lyon County Illinois
KS,90,1052,1142,McPherson County Kansas
KY,39,2686,2725,Marion County Kentucky
TN,2276,16771,19047,Marshall County Tennessee
GA,1157,4114,5271,Meade County Georgia
IL,84,1034,1118,Miami County Illinois
KS,135,457,592,Mitchell County Kansas
KY,84,2091,2175,Montgomery County Kentucky
TN,2321,16176,18497,Morris County Tennessee
GA,1132,5655,6787,Morton County Georgia
IL,59,2575,2634,Nemaha County Illinois
KS,110,1998,2108,Neosho County Kansas
KY,59,3632,3691,Ness County Kentucky
TN,2296,17717,20013,Norton County Tennessee
GA,3377,19139,22516,Osage County Georgia
IL,2304,16059,18363,Osborne County Illinois
KS,2355,15482,17837,Ottawa County Kansas
KY,2304,17116,19420,Pawnee County Kentucky
TN,4541,31201,35742,Phillips County Tennessee
GA,2713,11036,13749,Pottawatomie County Georgia
IL,1373,7421,8794,Pratt County Illinois
KY,1393,10670,12063,Rawlins County Kentucky
NC,5749,22417,28166,Reno County North Carolina
TN,1667,8335,10002,Republic County Tennessee
GA,1442,7672,9114,Rice County Georgia
IL,102,4057,4159,Riley County Illinois
KY,122,7306,7428,Rooks County Kentucky
NC,4478,19053,23531,Rush County North Carolina
TN,396,4971,5367,Russell County Tennessee
GA,1464,11141,12605,Saline County Georgia
IL,124,7526,7650,Scott County Illinois
KY,144,10775,10919,Sedgwick County Kentucky
NC,4500,22522,27022,Seward County North Carolina
TN,418,8440,8858,Shawnee County Tennessee
GA,3419,23237,26656,Sheridan County Georgia
IL,2079,19622,21701,Sherman County Illinois
KY,2099,22871,24970,Smith County Kentucky
NC,6455,34618,41073,Stafford County North Carolina
TN,2373,20536,22909,Stanton County Tennessee
GA,1738,8608,10346,Stevens County Georgia
IL,398,4993,5391,Sumner County Illinois
KY,418,8242,8660,Thomas County Kentucky
NC,4774,19989,24763,Trego County North Carolina
TN,692,5907,6599,Wabaunsee County Tennessee
GA,235,939,1174,Wallace County Georgia
KY,200,2527,2727,Washington County Kentucky
GA,197,2482,2679,Wichita County Georgia
KY,162,4070,4232,Wilson County Kentucky
GA,565,2304,2869,Woodson County Georgia
GA,1370,6898,8268,Wyandotte County Georgia
GA,4624,27800,32424,Adair County Georgia
GA,854,3142,3996,Allen County Georgia
GA,1123,3961,5084,Anderson County Georgia
NC,3117,12392,15509,Ballard County North Carolina
GA,2203,12703,14906,Barren County Georgia
NC,4197,21134,25331,Bath County North Carolina
GA,889,4055,4944,Bell County Georgia
GA,1887,8147,10034,Boone County Georgia
GU,52003,22668,74671,Bourbon County Guam
HI,17453,50707,68160,Boyd County Hawaii
HI,46532,119525,166057,Boyle County Hawaii
HI,2719,12595,15314,Bracken County Hawaii
HI,6558,22602,29160,Breathitt County Hawaii
ID,16133,380017,396150,Breckinridge County Idaho
IL,796,16814,17610,Bullitt County Illinois
PA,1012,14089,15101,Butler County Pennsylvania
IL,965,14107,15072,Caldwell County Illinois
PA,1181,11382,12563,Calloway County Pennsylvania
IL,1109,4600,5709,Campbell County Illinois
NC,1506,6802,8308,Carlisle County North Carolina
IL,911,6985,7896,Carroll County Illinois
NC,1308,9187,10495,Carter County North Carolina
IL,298,4252,4550,Casey County Illinois
IL,111,9760,9871,Christian County Illinois
KY,394,14674,15068,Clark County Kentucky
IL,354,14214,14568,Clay County Illinois
KY,637,19128,19765,Clinton County Kentucky
IL,39,659,698,Crittenden County Illinois
KS,398,1377,1775,Cumberland County Kansas
IL,431,1281,1712,Daviess County Illinois
KS,790,1999,2789,Edmonson County Kansas
IL,185,6895,7080,Elliott County Illinois
IL,3,914,917,Estill County Illinois
SC,293,2988,3281,Fayette County South Carolina
IL,222,2987,3209,Fleming County Illinois
SC,512,5061,5573,Floyd County South Carolina
IL,63,2697,2760,Franklin County Illinois
IL,2059,39465,41524,Fulton County Illinois
IL,266,8862,9128,Gallatin County Illinois
KY,602,17537,18139,Garrard County Kentucky
IL,538,17613,18151,Grant County Illinois
KY,874,26288,27162,Graves County Kentucky
IL,135,3451,3586,Grayson County Illinois
KS,125,1760,1885,Green County Kansas
KY,240,8716,8956,Greenup County Kentucky
IL,103,1847,1950,Hancock County Illinois
KS,93,156,249,Hardin County Kansas
KY,208,7112,7320,Harlan County Kentucky
IL,232,8522,8754,Harrison County Illinois
KS,222,6831,7053,Hart County Kansas
KY,337,13787,14124,Henderson County Kentucky
IL,103,3661,3764,Henry County Illinois
KS,190,2251,2441,Hickman County Kansas
KY,106,11032,11138,Hopkins County Kentucky
TN,363,3704,4067,Jackson County Tennessee
IL,185,2303,2488,Jefferson County Illinois
KS,272,893,1165,Jessamine County Kansas
KY,188,9674,9862,Johnson County Kentucky
TN,445,2346,2791,Kenton County Tennessee
IL,113,11025,11138,Knott County Illinois
KS,200,9615,9815,Knox County Kansas
KY,116,18396,18512,Larue County Kentucky
TN,373,11068,11441,Laurel County Tennessee
IL,393,3720,4113,Lawrence County Illinois
KS,480,2310,2790,Lee County Kansas
KY,396,11091,11487,Leslie County Kentucky
TN,653,3763,4416,Letcher County Tennessee
IL,190,5229,5419,Lewis County Illinois
KY,101,5368,5469,Lincoln County Kentucky
IL,117,5398,5515,Livingston County Illinois
KY,28,5537,5565,Logan County Kentucky
IL,407,13051,13458,Lyon County Illinois
IL,1,3806,3807,McCracken County Illinois
IL,6383,21609,27992,McCreary County Illinois
IL,3417,36972,40389,McLean County Illinois
IL,7146,48428,55574,Madison County Illinois
IL,4127,85757,89884,Magoffin County Illinois
IL,11380,137867,149247,Marion County Illinois
IL,4667,85087,89754,Marshall County Illinois
IL,7042,56715,63757,Martin County Illinois
IL,8279,151377,159656,Mason County Illinois
IL,6132,31630,37762,Meade County Illinois
IL,4109,146353,150462,Menifee County Illinois
IL,7617,43242,50859,Mercer County Illinois
IL,5423,49257,54680,Metcalfe County Illinois
IL,9780,66490,76270,Monroe County Illinois
IL,16,3,19,Montgomery County Illinois
IL,3361,1632,4993,Morgan County Illinois
IL,11570,65640,77210,Muhlenberg County Illinois
IL,0,40108,40108,Nelson County Illinois
IL,19955,112528,132483,Nicholas County Illinois
IL,12339,188435,200774,Ohio County Illinois
IL,11813,88197,100010,Oldham County Illinois
IL,5337,74588,79925,Owen County Illinois
IL,40,2319,2359,Owsley County Illinois
KY,76,2834,2910,Pendleton County Kentucky
NJ,11787,16453,28240,Perry County New Jersey
TN,1050,11055,12105,Pike County Tennessee
IL,72,2862,2934,Powell County Illinois
KY,108,3377,3485,Pulaski County Kentucky
NJ,11819,16996,28815,Robertson County New Jersey
TN,1082,11598,12680,Rockcastle County Tennessee
IL,11200,14349,25549,Rowan County Illinois
KY,11236,14864,26100,Russell County Kentucky
NJ,22947,28483,51430,Scott County New Jersey
TN,12210,23085,35295,Shelby County Tennessee
IL,1054,10712,11766,Simpson County Illinois
KY,1090,11227,12317,Spencer County Kentucky
NJ,12801,24846,37647,Taylor County New Jersey
TN,2064,19448,21512,Todd County Tennessee
IL,622,16143,16765,Trigg County Illinois
TN,735,11757,12492,Trimble County Tennessee
IL,761,12346,13107,Union County Illinois
TN,874,7960,8834,Warren County Tennessee
IL,92,3293,3385,Washington County Illinois
IL,2732,93212,95944,Wayne County Illinois
IL,129,5947,6076,Webster County Illinois
IL,44,1205,1249,Whitley County Illinois
KS,57,769,826,Wolfe County Kansas
IL,56,829,885,Woodford County Illinois
KS,69,393,462,Acadia Parish Kansas
IL,103,6810,6913,Allen Parish Illinois
IL,52,2543,2595,Ascension Parish Illinois
KS,957,3975,4932,Assumption Parish Kansas
IL,850,3766,4616,Avoyelles Parish Illinois
KS,1755,5198,6953,Beauregard Parish Kansas
IL,319,9117,9436,Bienville Parish Illinois
KY,259,6307,6566,Bossier Parish Kentucky
IL,217,6532,6749,Caddo Parish Illinois
KY,157,3722,3879,Calcasieu Parish Kentucky
IL,14,1894,1908,Caldwell Parish Illinois
KY,18,2747,2765,Cameron Parish Kentucky
IL,21,2626,2647,Catahoula Parish Illinois
KY,25,3479,3504,Claiborne Parish Kentucky
IL,106,5720,5826,Concordia Parish Illinois
TN,662,7253,7915,De Soto Parish Tennessee
IL,689,7415,8104,East Baton Rouge Parish Illinois
TN,1245,8948,10193,East Carroll Parish Tennessee
IL,74,2022,2096,East Feliciana Parish Illinois
KS,73,1140,1213,Evangeline Parish Kansas
IL,73,1143,1216,Franklin Parish Illinois
KS,72,261,333,Grant Parish Kansas
IL,78,1230,1308,Iberia Parish Illinois
KY,194,13772,13966,Iberville Parish Kentucky
TN,971,6459,7430,Jackson Parish Tennessee
IL,216,13753,13969,Jefferson Parish Illinois
KY,332,26295,26627,Jefferson Davis Parish Kentucky
TN,1109,18982,20091,Lafayette Parish Tennessee
IL,988,6602,7590,Lafourche Parish Illinois
KY,1104,19144,20248,LaSalle Parish Kentucky
TN,1881,11831,13712,Lincoln Parish Tennessee
IL,7,1018,1025,Livingston Parish Illinois
KY,363,8276,8639,Madison Parish Kentucky
NC,2257,9199,11456,Morehouse Parish North Carolina
TN,867,6405,7272,Natchitoches Parish Tennessee
IL,394,7804,8198,Orleans Parish Illinois
KY,750,15062,15812,Ouachita Parish Kentucky
NC,2644,15985,18629,Plaquemines Parish North Carolina
TN,1254,13191,14445,Pointe Coupee Parish Tennessee
IL,1148,9311,10459,Rapides Parish Illinois
KY,1504,16569,18073,Red River Parish Kentucky
NC,3398,17492,20890,Richland Parish North Carolina
TN,2008,14698,16706,Sabine Parish Tennessee
IL,861,6327,7188,St. Bernard Parish Illinois
KY,1217,13585,14802,St. Charles Parish Kentucky
NC,3111,14508,17619,St. Helena Parish North Carolina
TN,1721,11714,13435,St. James Parish Tennessee
IL,313,7150,7463,St. John the Baptist Parish Illinois
IL,20,1667,1687,St. Landry Parish Illinois
IL,72,4431,4503,St. Martin Parish Illinois
IL,52,2853,2905,St. Mary Parish Illinois
IL,52,2446,2498,St. Tammany Parish Illinois
KS,5169,16482,21651,Tangipahoa Parish Kansas
KY,178,7878,8056,Tensas Parish Kentucky
TN,733,5014,5747,Terrebonne Parish Tennessee
IL,4921,14978,19899,Union Parish Illinois
KS,10038,29014,39052,Vermilion Parish Kansas
KY,5047,20410,25457,Vernon Parish Kentucky
TN,5602,17546,23148,Washington Parish Tennessee
IL,201,7746,7947,Webster Parish Illinois
KS,5318,21782,27100,West Baton Rouge Parish Kansas
KY,327,13178,13505,West Carroll Parish Kentucky
TN,882,10314,11196,West Feliciana Parish Tennessee
IL,706,4892,5598,Winn Parish Illinois
KS,5823,18928,24751,Androscoggin County Kansas
KY,832,10324,11156,Aroostook County Kentucky
TN,1387,7460,8847,Cumberland County Tennessee
IL,4281,104154,108435,Franklin County Illinois
IL,1606,34168,35774,Hancock County Illinois
IL,145,11917,12062,Kennebec County Illinois
IL,528,14805,15333,Knox County Illinois
KY,589,19417,20006,Lincoln County Kentucky
TN,10070,60095,70165,Oxford County Tennessee
IL,601,19487,20088,Penobscot County Illinois
KY,662,24099,24761,Piscataquis County Kentucky
TN,10143,64777,74920,Sagadahoc County Tennessee
IL,9926,57037,66963,Somerset County Illinois
KY,9987,61649,71636,Waldo County Kentucky
TN,19468,102327,121795,Washington County Tennessee
IL,4823,93190,98013,York County Illinois
TN,2660,46265,48925,Allegany County Tennessee
IL,2833,50811,53644,Anne Arundel County Illinois
TN,670,3886,4556,Baltimore County Tennessee
IL,549,27667,28216,Calvert County Illinois
IL,106,3832,3938,Caroline County Illinois
KY,123,6708,6831,Carroll County Kentucky
TN,1026,9682,10708,Cecil County Tennessee
IL,104,6731,6835,Charles County Illinois
KY,121,9607,9728,Dorchester County Kentucky
TN,1024,12581,13605,Frederick County Tennessee
IL,1042,9482,10524,Garrett County Illinois
KY,1059,12358,13417,Harford County Kentucky
TN,1962,15332,17294,Howard County Tennessee
IL,111,7387,7498,Kent County Illinois
KY,62,5113,5175,Montgomery County Kentucky
IL,93,5335,5428,Prince George's County Illinois
KY,44,3061,3105,Queen Anne's County Kentucky
IL,129,7902,8031,St. Mary's County Illinois
KS,120,3903,4023,Somerset County Kansas
KY,140,8350,8490,Talbot County Kentucky
IL,138,4200,4338,Washington County Illinois
KS,129,201,330,Wicomico County Kansas
KY,149,4648,4797,Worcester County Kentucky
IL,183,8617,8800,Baltimore city Illinois
KS,174,4618,4792,Barnstable County Kansas
KY,194,9065,9259,Berkshire County Kentucky
IL,291,5855,6146,Bristol County Illinois
IL,403,27805,28208,Dukes County Illinois
IL,1042,29138,30180,Essex County Illinois
KY,527,15875,16402,Franklin County Kentucky
IL,586,16529,17115,Hampden County Illinois
KY,71,3266,3337,Hampshire County Kentucky
IL,2072,36168,38240,Middlesex County Illinois
TN,1675,22863,24538,Nantucket County/town Tennessee
IL,1749,23654,25403,Norfolk County Illinois
TN,1352,10349,11701,Plymouth County Tennessee
IL,101,11325,11426,Suffolk County Illinois
IL,3437,66090,69527,Worcester County Illinois
KY,1925,45807,47732,Alcona County Kentucky
TN,6278,48022,54300,Alger County Tennessee
IL,1972,46196,48168,Allegan County Illinois
KY,460,25913,26373,Alpena County Kentucky
TN,4813,28128,32941,Antrim County Tennessee
IL,6437,48547,54984,Arenac County Illinois
KY,4925,28264,33189,Baraga County Kentucky
TN,9278,30479,39757,Barry County Tennessee
IL,759,15587,16346,Bay County Illinois
KS,552,8335,8887,Benzie County Kansas
KY,446,11665,12111,Berrien County Kentucky
TN,1260,13914,15174,Branch County Tennessee
IL,553,8307,8860,Calhoun County Illinois
KS,346,1055,1401,Cass County Kansas
KY,240,4385,4625,Charlevoix County Kentucky
TN,1054,6634,7688,Cheboygan County Tennessee
IL,445,11596,12041,Chippewa County Illinois
KS,238,4344,4582,Clare County Kansas
KY,132,7674,7806,Clinton County Kentucky
TN,946,9923,10869,Crawford County Tennessee
IL,1304,13692,14996,Delta County Illinois
KS,1097,6440,7537,Dickinson County Kansas
KY,991,9770,10761,Eaton County Kentucky
TN,1805,12019,13824,Emmet County Tennessee
IL,64,2719,2783,Genesee County Illinois
KS,236,1980,2216,Gladwin County Kansas
KY,84,5529,5613,Gogebic County Kentucky
TN,592,6695,7287,Grand Traverse County Tennessee
IL,254,1859,2113,Gratiot County Illinois
KS,426,1120,1546,Hillsdale County Kansas
KY,274,4669,4943,Houghton County Kentucky
TN,782,5835,6617,Huron County Tennessee
IL,93,5427,5520,Ingham County Illinois
KS,265,4688,4953,Ionia County Kansas
KY,113,8237,8350,Iosco County Kentucky
TN,621,9403,10024,Iron County Tennessee
IL,621,6579,7200,Isabella County Illinois
KS,793,5840,6633,Jackson County Kansas
KY,641,9389,10030,Kalamazoo County Kentucky
TN,1149,10555,11704,Kalkaska County Tennessee
IL,154,4179,4333,Kent County Illinois
KY,324,5844,6168,Keweenaw County Kentucky
IL,343,5897,6240,Lake County Illinois
KY,513,7562,8075,Lapeer County Kentucky
IL,252,6091,6343,Leelanau County Illinois
