States,Jan & July Public Assist. Participation,Jan & July Non-Public Assist. Participation,Jan & July TOTAL Assist. Participation,Counties
KY,12421,229869,242290,Allamakee County
TN,7095,121336,128431,Appanoose County
GA,2192,12975,15167,Audubon County
IL,1264,17107,18371,Benton County
KS,1202,10433,11635,Black Hawk County
KY,7037,127870,134907,Boone County
TN,1711,19337,21048,Bremer County
GA,1257,3867,5124,Buchanan County
GA,1223,3365,4588,Buena Vista County
GA,1449,6819,8268,Butler County
GA,1213,5573,6786,Calhoun County
GA,1005,3853,4858,Carroll County
GA,5276,19025,24301,Cass County
GA,882,6068,6950,Cedar County
IL,451,4659,5110,Cerro Gordo County
KY,526,5712,6238,Cherokee County
GA,514,4832,5346,Chickasaw County
IL,83,3423,3506,Clarke County
KY,158,4476,4634,Clay County
GA,604,5843,6447,Clayton County
IL,173,4434,4607,Clinton County
KY,248,5487,5735,Crawford County
GA,2588,13952,16540,Dallas County
GA,598,2163,2761,Davis County
GA,987,4822,5809,Decatur County
GA,7712,35938,43650,Delaware County
GA,1281,7306,8587,Des Moines County
GA,2428,8520,10948,Dickinson County
GA,929,3786,4715,Dubuque County
GA,1424,4353,5777,Emmet County
GA,1986,7938,9924,Fayette County
GA,805,2871,3676,Floyd County
GA,2657,8161,10818,Franklin County
GA,781,2366,3147,Fremont County
GA,3114,10804,13918,Greene County
KS,1521,5285,6806,Grundy County
NC,1856,6801,8657,Guthrie County
GA,1711,5954,7665,Hamilton County
KS,118,435,553,Hancock County
NC,453,1951,2404,Hardin County
GA,1864,7686,9550,Harrison County
KS,271,2167,2438,Henry County
NC,606,3683,4289,Howard County
GA,1254,5660,6914,Humboldt County
GA,752,2997,3749,Ida County
IL,408,5337,5745,Iowa County
KS,2026,5069,7095,Jackson County
KY,471,6920,7391,Jasper County
TN,4209,20940,25149,Jefferson County
GA,438,5195,5633,Johnson County
IL,94,7535,7629,Jones County
KS,1712,7267,8979,Keokuk County
KY,157,9118,9275,Kossuth County
TN,3895,23138,27033,Lee County
GA,2040,4891,6931,Linn County
IL,1696,7231,8927,Louisa County
KS,3314,6963,10277,Lucas County
KY,1759,8814,10573,Lyon County
TN,5497,22834,28331,Madison County
GA,488,6876,7364,Mahaska County
IL,144,9216,9360,Marion County
KS,1762,8948,10710,Marshall County
KY,207,10799,11006,Mills County
TN,3945,24819,28764,Mitchell County
GA,4497,19587,24084,Monona County
IL,4153,21927,26080,Monroe County
KS,5771,21659,27430,Montgomery County
KY,4216,23510,27726,Muscatine County
TN,7954,37530,45484,O'Brien County
GA,1026,5349,6375,Osceola County
IL,606,7364,7970,Page County
KY,671,6253,6924,Palo Alto County
TN,953,7170,8123,Plymouth County
GA,663,7159,7822,Pocahontas County
IL,243,9174,9417,Polk County
KY,308,8063,8371,Pottawattamie County
TN,590,8980,9570,Poweshiek County
GA,665,6363,7028,Ringgold County
IL,245,8378,8623,Sac County
KY,310,7267,7577,Scott County
TN,592,8184,8776,Shelby County
GA,1015,7089,8104,Sioux County
IL,595,9104,9699,Story County
KY,660,7993,8653,Tama County
TN,942,8910,9852,Taylor County
GA,2820,15633,18453,Union County
GA,16735,62938,79673,Van Buren County
GA,6578,33538,40116,Wapello County
GA,573,3139,3712,Warren County
GA,869,3569,4438,Washington County
GA,3755,24901,28656,Wayne County
GA,2503,10246,12749,Webster County
GA,1340,8018,9358,Winnebago County
GA,1612,6553,8165,Winneshiek County
GA,712,4387,5099,Woodbury County
IL,375,4196,4571,Worth County
KY,592,18194,18786,Wright County
GA,388,4323,4711,Allen County
IL,51,4132,4183,Anderson County
KY,268,18130,18398,Atchison County
GA,613,18273,18886,Barber County
IL,276,18082,18358,Barton County
KY,493,32080,32573,Bourbon County
GA,4052,13892,17944,Brown County
GA,891,2779,3670,Butler County
IL,557,2872,3429,Chase County
KY,866,14025,14891,Chautauqua County
GA,576,2933,3509,Cherokee County
IL,242,3026,3268,Cheyenne County
KY,551,14179,14730,Clark County
GA,872,13661,14533,Clay County
IL,538,13754,14292,Cloud County
KY,847,24907,25754,Coffey County
GA,1280,6790,8070,Comanche County
GA,385,974,1359,Cowley County
GA,849,3824,4673,Crawford County
GA,1015,2848,3863,Decatur County
GA,20662,80963,101625,Dickinson County
GA,4463,27883,32346,Doniphan County
GA,343,1357,1700,Douglas County
GA,1884,5095,6979,Edwards County
GA,1256,3780,5036,Elk County
GA,6126,28622,34748,Ellis County
GA,2992,9173,12165,Ellsworth County
GA,655,2157,2812,Finney County
GA,4485,16049,20534,Ford County
GA,737,2326,3063,Franklin County
GA,261,849,1110,Geary County
GA,2064,6106,8170,Gove County
GA,958,3178,4136,Graham County
GA,1438,4350,5788,Grant County
GA,1723,5288,7011,Gray County
GA,4414,14539,18953,Greeley County
GA,4017,17901,21918,Greenwood County
GA,3132,11794,14926,Hamilton County
GA,462,2362,2824,Harper County
GA,866,3039,3905,Harvey County
GA,6752,20182,26934,Haskell County
GA,502,2175,2677,Hodgeman County
GA,905,2798,3703,Jackson County
GA,917,5266,6183,Jefferson County
GA,3123,10293,13416,Jewell County
GA,4622,18919,23541,Johnson County
GA,4695,21614,26309,Kearny County
GA,3436,12248,15684,Kingman County
GA,850,2514,3364,Kiowa County
GA,2145,7535,9680,Labette County
IL,1072,4455,5527,Lane County
KS,1123,3878,5001,Leavenworth County
KY,1072,5512,6584,Lincoln County
TN,3309,19597,22906,Linn County
GA,1112,4709,5821,Logan County
IL,39,1629,1668,Lyon County
KS,90,1052,1142,McPherson County
KY,39,2686,2725,Marion County
TN,2276,16771,19047,Marshall County
GA,1157,4114,5271,Meade County
IL,84,1034,1118,Miami County
KS,135,457,592,Mitchell County
KY,84,2091,2175,Montgomery County
TN,2321,16176,18497,Morris County
GA,1132,5655,6787,Morton County
IL,59,2575,2634,Nemaha County
KS,110,1998,2108,Neosho County
KY,59,3632,3691,Ness County
TN,2296,17717,20013,Norton County
GA,3377,19139,22516,Osage County
IL,2304,16059,18363,Osborne County
KS,2355,15482,17837,Ottawa County
KY,2304,17116,19420,Pawnee County
TN,4541,31201,35742,Phillips County
GA,2713,11036,13749,Pottawatomie County
IL,1373,7421,8794,Pratt County
KY,1393,10670,12063,Rawlins County
NC,5749,22417,28166,Reno County
TN,1667,8335,10002,Republic County
GA,1442,7672,9114,Rice County
IL,102,4057,4159,Riley County
KY,122,7306,7428,Rooks County
NC,4478,19053,23531,Rush County
TN,396,4971,5367,Russell County
GA,1464,11141,12605,Saline County
IL,124,7526,7650,Scott County
KY,144,10775,10919,Sedgwick County
NC,4500,22522,27022,Seward County
TN,418,8440,8858,Shawnee County
GA,3419,23237,26656,Sheridan County
IL,2079,19622,21701,Sherman County
KY,2099,22871,24970,Smith County
NC,6455,34618,41073,Stafford County
TN,2373,20536,22909,Stanton County
GA,1738,8608,10346,Stevens County
IL,398,4993,5391,Sumner County
KY,418,8242,8660,Thomas County
NC,4774,19989,24763,Trego County
TN,692,5907,6599,Wabaunsee County
GA,235,939,1174,Wallace County
KY,200,2527,2727,Washington County
GA,197,2482,2679,Wichita County
KY,162,4070,4232,Wilson County
GA,565,2304,2869,Woodson County
GA,1370,6898,8268,Wyandotte County
GA,4624,27800,32424,Adair County
GA,854,3142,3996,Allen County
GA,1123,3961,5084,Anderson County
NC,3117,12392,15509,Ballard County
GA,2203,12703,14906,Barren County
NC,4197,21134,25331,Bath County
GA,889,4055,4944,Bell County
GA,1887,8147,10034,Boone County
GU,52003,22668,74671,Bourbon County
HI,17453,50707,68160,Boyd County
HI,46532,119525,166057,Boyle County
HI,2719,12595,15314,Bracken County
HI,6558,22602,29160,Breathitt County
ID,16133,380017,396150,Breckinridge County
IL,796,16814,17610,Bullitt County
PA,1012,14089,15101,Butler County
IL,965,14107,15072,Caldwell County
PA,1181,11382,12563,Calloway County
IL,1109,4600,5709,Campbell County
NC,1506,6802,8308,Carlisle County
IL,911,6985,7896,Carroll County
NC,1308,9187,10495,Carter County
IL,298,4252,4550,Casey County
IL,111,9760,9871,Christian County
KY,394,14674,15068,Clark County
IL,354,14214,14568,Clay County
KY,637,19128,19765,Clinton County
IL,39,659,698,Crittenden County
KS,398,1377,1775,Cumberland County
IL,431,1281,1712,Daviess County
KS,790,1999,2789,Edmonson County
IL,185,6895,7080,Elliott County
IL,3,914,917,Estill County
SC,293,2988,3281,Fayette County
IL,222,2987,3209,Fleming County
SC,512,5061,5573,Floyd County
IL,63,2697,2760,Franklin County
IL,2059,39465,41524,Fulton County
IL,266,8862,9128,Gallatin County
KY,602,17537,18139,Garrard County
IL,538,17613,18151,Grant County
KY,874,26288,27162,Graves County
IL,135,3451,3586,Grayson County
KS,125,1760,1885,Green County
KY,240,8716,8956,Greenup County
IL,103,1847,1950,Hancock County
KS,93,156,249,Hardin County
KY,208,7112,7320,Harlan County
IL,232,8522,8754,Harrison County
KS,222,6831,7053,Hart County
KY,337,13787,14124,Henderson County
IL,103,3661,3764,Henry County
KS,190,2251,2441,Hickman County
KY,106,11032,11138,Hopkins County
TN,363,3704,4067,Jackson County
IL,185,2303,2488,Jefferson County
KS,272,893,1165,Jessamine County
KY,188,9674,9862,Johnson County
TN,445,2346,2791,Kenton County
IL,113,11025,11138,Knott County
KS,200,9615,9815,Knox County
KY,116,18396,18512,Larue County
TN,373,11068,11441,Laurel County
IL,393,3720,4113,Lawrence County
KS,480,2310,2790,Lee County
KY,396,11091,11487,Leslie County
TN,653,3763,4416,Letcher County
IL,190,5229,5419,Lewis County
KY,101,5368,5469,Lincoln County
IL,117,5398,5515,Livingston County
KY,28,5537,5565,Logan County
IL,407,13051,13458,Lyon County
IL,1,3806,3807,McCracken County
IL,6383,21609,27992,McCreary County
IL,3417,36972,40389,McLean County
IL,7146,48428,55574,Madison County
IL,4127,85757,89884,Magoffin County
IL,11380,137867,149247,Marion County
IL,4667,85087,89754,Marshall County
IL,7042,56715,63757,Martin County
IL,8279,151377,159656,Mason County
IL,6132,31630,37762,Meade County
IL,4109,146353,150462,Menifee County
IL,7617,43242,50859,Mercer County
IL,5423,49257,54680,Metcalfe County
IL,9780,66490,76270,Monroe County
IL,16,3,19,Montgomery County
IL,3361,1632,4993,Morgan County
IL,11570,65640,77210,Muhlenberg County
IL,0,40108,40108,Nelson County
IL,19955,112528,132483,Nicholas County
IL,12339,188435,200774,Ohio County
IL,11813,88197,100010,Oldham County
IL,5337,74588,79925,Owen County
IL,40,2319,2359,Owsley County
KY,76,2834,2910,Pendleton County
NJ,11787,16453,28240,Perry County
TN,1050,11055,12105,Pike County
IL,72,2862,2934,Powell County
KY,108,3377,3485,Pulaski County
NJ,11819,16996,28815,Robertson County
TN,1082,11598,12680,Rockcastle County
IL,11200,14349,25549,Rowan County
KY,11236,14864,26100,Russell County
NJ,22947,28483,51430,Scott County
TN,12210,23085,35295,Shelby County
IL,1054,10712,11766,Simpson County
KY,1090,11227,12317,Spencer County
NJ,12801,24846,37647,Taylor County
TN,2064,19448,21512,Todd County
IL,622,16143,16765,Trigg County
TN,735,11757,12492,Trimble County
IL,761,12346,13107,Union County
TN,874,7960,8834,Warren County
IL,92,3293,3385,Washington County
IL,2732,93212,95944,Wayne County
IL,129,5947,6076,Webster County
IL,44,1205,1249,Whitley County
KS,57,769,826,Wolfe County
IL,56,829,885,Woodford County
KS,69,393,462,Acadia Parish
IL,103,6810,6913,Allen Parish
IL,52,2543,2595,Ascension Parish
KS,957,3975,4932,Assumption Parish
IL,850,3766,4616,Avoyelles Parish
KS,1755,5198,6953,Beauregard Parish
IL,319,9117,9436,Bienville Parish
KY,259,6307,6566,Bossier Parish
IL,217,6532,6749,Caddo Parish
KY,157,3722,3879,Calcasieu Parish
IL,14,1894,1908,Caldwell Parish
KY,18,2747,2765,Cameron Parish
IL,21,2626,2647,Catahoula Parish
KY,25,3479,3504,Claiborne Parish
IL,106,5720,5826,Concordia Parish
TN,662,7253,7915,De Soto Parish
IL,689,7415,8104,East Baton Rouge Parish
TN,1245,8948,10193,East Carroll Parish
IL,74,2022,2096,East Feliciana Parish
KS,73,1140,1213,Evangeline Parish
IL,73,1143,1216,Franklin Parish
KS,72,261,333,Grant Parish
IL,78,1230,1308,Iberia Parish
KY,194,13772,13966,Iberville Parish
TN,971,6459,7430,Jackson Parish
IL,216,13753,13969,Jefferson Parish
KY,332,26295,26627,Jefferson Davis Parish
TN,1109,18982,20091,Lafayette Parish
IL,988,6602,7590,Lafourche Parish
KY,1104,19144,20248,LaSalle Parish
TN,1881,11831,13712,Lincoln Parish
IL,7,1018,1025,Livingston Parish
KY,363,8276,8639,Madison Parish
NC,2257,9199,11456,Morehouse Parish
TN,867,6405,7272,Natchitoches Parish
IL,394,7804,8198,Orleans Parish
KY,750,15062,15812,Ouachita Parish
NC,2644,15985,18629,Plaquemines Parish
TN,1254,13191,14445,Pointe Coupee Parish
IL,1148,9311,10459,Rapides Parish
KY,1504,16569,18073,Red River Parish
NC,3398,17492,20890,Richland Parish
TN,2008,14698,16706,Sabine Parish
IL,861,6327,7188,St. Bernard Parish
KY,1217,13585,14802,St. Charles Parish
NC,3111,14508,17619,St. Helena Parish
TN,1721,11714,13435,St. James Parish
IL,313,7150,7463,St. John the Baptist Parish
IL,20,1667,1687,St. Landry Parish
IL,72,4431,4503,St. Martin Parish
IL,52,2853,2905,St. Mary Parish
IL,52,2446,2498,St. Tammany Parish
KS,5169,16482,21651,Tangipahoa Parish
KY,178,7878,8056,Tensas Parish
TN,733,5014,5747,Terrebonne Parish
IL,4921,14978,19899,Union Parish
KS,10038,29014,39052,Vermilion Parish
KY,5047,20410,25457,Vernon Parish
TN,5602,17546,23148,Washington Parish
IL,201,7746,7947,Webster Parish
KS,5318,21782,27100,West Baton Rouge Parish
KY,327,13178,13505,West Carroll Parish
TN,882,10314,11196,West Feliciana Parish
IL,706,4892,5598,Winn Parish
KS,5823,18928,24751,Androscoggin County
KY,832,10324,11156,Aroostook County
TN,1387,7460,8847,Cumberland County
IL,4281,104154,108435,Franklin County
IL,1606,34168,35774,Hancock County
IL,145,11917,12062,Kennebec County
IL,528,14805,15333,Knox County
KY,589,19417,20006,Lincoln County
TN,10070,60095,70165,Oxford County
IL,601,19487,20088,Penobscot County
KY,662,24099,24761,Piscataquis County
TN,10143,64777,74920,Sagadahoc County
IL,9926,57037,66963,Somerset County
KY,9987,61649,71636,Waldo County
TN,19468,102327,121795,Washington County
IL,4823,93190,98013,York County
TN,2660,46265,48925,Allegany County
IL,2833,50811,53644,Anne Arundel County
TN,670,3886,4556,Baltimore County
IL,549,27667,28216,Calvert County
IL,106,3832,3938,Caroline County
KY,123,6708,6831,Carroll County
TN,1026,9682,10708,Cecil County
IL,104,6731,6835,Charles County
KY,121,9607,9728,Dorchester County
TN,1024,12581,13605,Frederick County
IL,1042,9482,10524,Garrett County
KY,1059,12358,13417,Harford County
TN,1962,15332,17294,Howard County
IL,111,7387,7498,Kent County
KY,62,5113,5175,Montgomery County
IL,93,5335,5428,Prince George's County
KY,44,3061,3105,Queen Anne's County
IL,129,7902,8031,St. Mary's County
KS,120,3903,4023,Somerset County
KY,140,8350,8490,Talbot County
IL,138,4200,4338,Washington County
KS,129,201,330,Wicomico County
KY,149,4648,4797,Worcester County
IL,183,8617,8800,Baltimore city
KS,174,4618,4792,Barnstable County
KY,194,9065,9259,Berkshire County
IL,291,5855,6146,Bristol County
IL,403,27805,28208,Dukes County
IL,1042,29138,30180,Essex County
KY,527,15875,16402,Franklin County
IL,586,16529,17115,Hampden County
KY,71,3266,3337,Hampshire County
IL,2072,36168,38240,Middlesex County
TN,1675,22863,24538,Nantucket County/town
IL,1749,23654,25403,Norfolk County
TN,1352,10349,11701,Plymouth County
IL,101,11325,11426,Suffolk County
IL,3437,66090,69527,Worcester County
KY,1925,45807,47732,Alcona County
TN,6278,48022,54300,Alger County
IL,1972,46196,48168,Allegan County
KY,460,25913,26373,Alpena County
TN,4813,28128,32941,Antrim County
IL,6437,48547,54984,Arenac County
KY,4925,28264,33189,Baraga County
TN,9278,30479,39757,Barry County
IL,759,15587,16346,Bay County
KS,552,8335,8887,Benzie County
KY,446,11665,12111,Berrien County
TN,1260,13914,15174,Branch County
IL,553,8307,8860,Calhoun County
KS,346,1055,1401,Cass County
KY,240,4385,4625,Charlevoix County
TN,1054,6634,7688,Cheboygan County
IL,445,11596,12041,Chippewa County
KS,238,4344,4582,Clare County
KY,132,7674,7806,Clinton County
TN,946,9923,10869,Crawford County
IL,1304,13692,14996,Delta County
KS,1097,6440,7537,Dickinson County
KY,991,9770,10761,Eaton County
TN,1805,12019,13824,Emmet County
IL,64,2719,2783,Genesee County
KS,236,1980,2216,Gladwin County
KY,84,5529,5613,Gogebic County
TN,592,6695,7287,Grand Traverse County
IL,254,1859,2113,Gratiot County
KS,426,1120,1546,Hillsdale County
KY,274,4669,4943,Houghton County
TN,782,5835,6617,Huron County
IL,93,5427,5520,Ingham County
KS,265,4688,4953,Ionia County
KY,113,8237,8350,Iosco County
TN,621,9403,10024,Iron County
IL,621,6579,7200,Isabella County
KS,793,5840,6633,Jackson County
KY,641,9389,10030,Kalamazoo County
TN,1149,10555,11704,Kalkaska County
IL,154,4179,4333,Kent County
KY,324,5844,6168,Keweenaw County
IL,343,5897,6240,Lake County
KY,513,7562,8075,Lapeer County
IL,252,6091,6343,Leelanau County
IL,29,2033,2062,Lenawee County
IL,69,2550,2619,Livingston County
KY,98,4678,4776,Luce County
NJ,15172,13586,28758,Mackinac County
IL,74,4566,4640,Macomb County
KY,103,6694,6797,Manistee County
NJ,15177,15602,30779,Marquette County
IL,14394,11800,26194,Mason County
KY,14423,13928,28351,Mecosta County
NJ,29497,22836,52333,Menominee County
IL,71,1504,1575,Midland County
KY,77,3600,3677,Missaukee County
TN,989,10618,11607,Monroe County
IL,95,3405,3500,Montcalm County
KY,101,5501,5602,Montmorency County
TN,1013,12519,13532,Muskegon County
IL,1001,10306,11307,Newaygo County
KY,1007,12402,13409,Oakland County
TN,1919,19420,21339,Oceana County
IL,46,2279,2325,Ogemaw County
IL,134,12864,12998,Ontonagon County
IL,4389,56181,60570,Osceola County
IL,156,6376,6532,Oscoda County
KY,467,12696,13163,Otsego County
TN,241,4721,4962,Ottawa County
IL,445,12825,13270,Presque Isle County
KY,756,19145,19901,Roscommon County
TN,530,11170,11700,Saginaw County
IL,215,4941,5156,St. Clair County
KY,526,11261,11787,St. Joseph County
TN,300,3286,3586,Sanilac County
IL,36,1583,1619,Schoolcraft County
IL,53,1698,1751,Shiawassee County
IL,34,760,794,Tuscola County
TN,1773,12981,14754,Van Buren County
IL,1786,12283,14069,Washtenaw County
TN,3525,24504,28029,Wayne County
IL,352,7590,7942,Wexford County
NC,4212,21960,26172,Aitkin County
IL,1896,23373,25269,Anoka County
NC,5756,37743,43499,Becker County
IL,178,4612,4790,Beltrami County
SC,5839,56535,62374,Benton County
IL,5295,53179,58474,Big Stone County
SC,10956,105102,116058,Blue Earth County
IL,2671,35662,38333,Brown County
IL,8743,83558,92301,Carlton County
IL,306,10807,11113,Carver County
KS,1958,9801,11759,Cass County
IL,1741,9909,11650,Chippewa County
KS,3393,8903,12296,Chisago County
IL,3384,51661,55045,Clay County
IL,57,1499,1556,Clearwater County
IL,4,798,802,Cook County
KS,78,613,691,Cottonwood County
KY,132,6683,6815,Crow Wing County
TN,1125,7166,8291,Dakota County
IL,94,611,705,Dodge County
KS,168,426,594,Douglas County
KY,222,6496,6718,Faribault County
TN,1215,6979,8194,Fillmore County
IL,147,6409,6556,Freeborn County
KS,221,6224,6445,Goodhue County
KY,275,12294,12569,Grant County
TN,1268,12777,14045,Hennepin County
IL,1138,7039,8177,Houston County
KS,1212,6854,8066,Hubbard County
KY,1266,12924,14190,Isanti County
TN,2259,13407,15666,Itasca County
IL,142,3925,4067,Jackson County
KY,261,6770,7031,Kanabec County
IL,228,6592,6820,Kandiyohi County
KY,347,9437,9784,Kittson County
IL,29,931,960,Koochiching County
IL,958,13151,14109,Lac qui Parle County
IL,868,24463,25331,Lake County
IL,374,6516,6890,Lake of the Woods County
KY,246,5781,6027,Le Sueur County
NJ,15075,23792,38867,Lincoln County
NC,3958,19695,23653,Lyon County
TN,701,7871,8572,McLeod County
IL,309,5825,6134,Mahnomen County
KY,181,5090,5271,Marshall County
NJ,15010,23101,38111,Martin County
NC,3893,19004,22897,Meeker County
TN,636,7180,7816,Mille Lacs County
IL,14473,20424,34897,Morrison County
KY,14345,19689,34034,Mower County
NJ,29174,37700,66874,Murray County
NC,18057,33603,51660,Nicollet County
TN,14800,21779,36579,Nobles County
IL,1451,20611,22062,Norman County
KY,1323,19876,21199,Olmsted County
NJ,16152,37887,54039,Otter Tail County
NC,5035,33790,38825,Pennington County
TN,1778,21966,23744,Pine County
IL,674,7949,8623,Pipestone County
KY,546,7214,7760,Polk County
NJ,15375,25225,40600,Pope County
NC,4258,21128,25386,Ramsey County
TN,1001,9304,10305,Red Lake County
IL,2796,31139,33935,Redwood County
IL,84,3037,3121,Renville County
IL,240,4274,4514,Rice County
KY,575,18702,19277,Rock County
NJ,2432,5679,8111,Roseau County
TN,1025,10681,11706,St. Louis County
IL,647,17677,18324,Scott County
KY,982,32105,33087,Sherburne County
NJ,2839,19082,21921,Sibley County
TN,1432,24084,25516,Stearns County
IL,2339,5316,7655,Steele County
KY,2674,19744,22418,Stevens County
NJ,4531,6721,11252,Swift County
TN,3124,11723,14847,Todd County
IL,1078,10705,11783,Traverse County
KY,1413,25133,26546,Wabasha County
NJ,3270,12110,15380,Wadena County
TN,1863,17112,18975,Waseca County
IL,78,4147,4225,Washington County
TN,532,7324,7856,Watonwan County
IL,569,7208,7777,Wilkin County
TN,1023,10385,11408,Winona County
IL,339,12355,12694,Wright County
IL,4467,97001,101468,Yellow Medicine County
IL,819,21487,22306,Adams County
TN,1064,17306,18370,Alcorn County
IL,1084,17501,18585,Amite County
TN,1329,13320,14649,Attala County
IL,5402,97985,103387,Benton County
IL,49,3348,3397,Bolivar County
KY,85,4174,4259,Calhoun County
IL,72,3986,4058,Carroll County
KY,108,4812,4920,Chickasaw County
IN,1131,4806,5937,Choctaw County
IN,23169,72064,95233,Claiborne County
IN,3115,12846,15961,Clarke County
IN,440,1981,2421,Clay County
IN,1059,2917,3976,Coahoma County
IN,1340,5752,7092,Copiah County
IN,598,2576,3174,Covington County
IN,383,2596,2979,DeSoto County
MS,216,2596,2812,Forrest County
IN,223,2668,2891,Franklin County
MS,56,2668,2724,George County
IN,1846,8088,9934,Greene County
IN,5739,17273,23012,Grenada County
OH,7445,28964,36409,Hancock County
IN,7178,29673,36851,Harrison County
OH,8884,41364,50248,Hinds County
IN,1715,5297,7012,Holmes County
MN,2477,6524,9001,Humphreys County
MN,884,2612,3496,Issaquena County
MS,1186,7990,9176,Itawamba County
IN,2382,6223,8605,Jackson County
MN,3144,7450,10594,Jasper County
MN,1551,3538,5089,Jefferson County
MS,1853,8916,10769,Jefferson Davis County
IN,1098,8066,9164,Jones County
MN,1860,9293,11153,Kemper County
MN,267,5381,5648,Lafayette County
MS,569,10759,11328,Lamar County
IN,1694,6752,8446,Lauderdale County
IN,737,2432,3169,Lawrence County
IN,1520,4746,6266,Leake County
IN,1646,7047,8693,Lee County
IN,1662,4998,6660,Leflore County
IN,1430,8226,9656,Lincoln County
IN,9288,24546,33834,Lowndes County
IN,987,3919,4906,Madison County
IN,12964,46243,59207,Marion County
IN,3534,7133,10667,Marshall County
IN,5728,11794,17522,Monroe County
VA,3240,7444,10684,Montgomery County
IN,3004,7672,10676,Neshoba County
VA,516,3322,3838,Newton County
IN,902,2806,3708,Noxubee County
IN,1232,3653,4885,Oktibbeha County
MS,652,3192,3844,Panola County
OH,35537,152186,187723,Pearl River County
IN,660,3237,3897,Perry County
MS,80,2776,2856,Pike County
OH,34965,151770,186735,Pontotoc County
IN,36194,142817,179011,Prentiss County
MS,35614,142356,177970,Quitman County
OH,70499,291350,361849,Rankin County
IN,1393,4416,5809,Scott County
IN,1130,5174,6304,Sharkey County
IN,5748,16938,22686,Simpson County
IN,1717,6382,8099,Smith County
MS,921,5089,6010,Stone County
IN,875,5364,6239,Sunflower County
MS,79,4071,4150,Tallahatchie County
IN,2619,13183,15802,Tate County
IN,1950,8044,9994,Tippah County
MS,1090,10895,11985,Tishomingo County
IN,1115,10941,12056,Tunica County
MS,255,13792,14047,Union County
IN,1670,6273,7943,Walthall County
MS,2365,34642,37007,Warren County
IN,2180,32156,34336,Washington County
MS,2875,60525,63400,Wayne County
IN,1686,10539,12225,Webster County
IN,4609,10463,15072,Wilkinson County
IN,6314,18639,24953,Winston County
IN,1391,6824,8215,Yalobusha County
IN,2073,7718,9791,Yazoo County
MN,1184,4214,5398,Adair County
MS,1918,21700,23618,Andrew County
IN,1218,4423,5641,Atchison County
MN,329,919,1248,Audrain County
MS,1063,18405,19468,Barry County
IN,2028,21616,23644,Barton County
MN,1139,18112,19251,Bates County
MS,1873,35598,37471,Benton County
IN,1368,5108,6476,Bollinger County
MS,793,5966,6759,Boone County
IN,702,6084,6786,Buchanan County
MS,127,6942,7069,Butler County
IN,1102,4246,5348,Caldwell County
IN,1857,6375,8232,Callaway County
MS,1127,5138,6265,Camden County
IN,1008,5159,6167,Cape Girardeau County
MS,278,3922,4200,Carroll County
IN,1699,6887,8586,Carter County
IN,4313,18361,22674,Cass County
IN,3260,7031,10291,Cedar County
IN,1899,11547,13446,Chariton County
IN,576,3459,4035,Christian County
IN,56416,119811,176227,Clark County
IN,9700,25971,35671,Clay County
IN,2239,8951,11190,Clinton County
MS,1206,6566,7772,Cole County
IN,1264,6769,8033,Cooper County
MS,231,4384,4615,Crawford County
IN,9362,27784,37146,Dade County
MS,5363,23377,28740,Dallas County
IN,5519,23929,29448,Daviess County
MS,1520,19522,21042,DeKalb County
IN,111080,223178,334258,Dent County
MS,55134,113590,168724,Douglas County
IN,56512,120565,177077,Dunklin County
MS,566,10977,11543,Franklin County
IN,1777,8073,9850,Gasconade County
MN,1047,4382,5429,Gentry County
MS,1217,10782,11999,Greene County
IN,977,4464,5441,Grundy County
MN,247,773,1020,Harrison County
MS,417,7173,7590,Henry County
IN,1160,10639,11799,Hickory County
MN,430,6948,7378,Holt County
MS,600,13348,13948,Howard County
IN,476,1607,2083,Howell County
IN,2055,8016,10071,Iron County
IN,4238,14282,18520,Jackson County
IN,2149,6346,8495,Jasper County
IN,4608,12216,16824,Jefferson County
IN,724,2526,3250,Johnson County
MS,491,4972,5463,Knox County
IN,476,4786,5262,Laclede County
MS,243,7232,7475,Lafayette County
IN,1397,8253,9650,Lawrence County
IN,183,808,991,Lewis County
IN,1509,4607,6116,Lincoln County
VA,1107,4919,6026,Linn County
IN,1109,4959,6068,Livingston County
VA,707,5271,5978,McDonald County
IN,1296,4613,5909,Macon County
IN,998,2823,3821,Madison County
IN,807,2852,3659,Maries County
IN,707,1807,2514,Marion County
MS,862,10532,11394,Mercer County
IN,813,10466,11279,Miller County
MS,968,19191,20159,Mississippi County
IN,5543,20406,25949,Moniteau County
IN,1259,2850,4109,Monroe County
IN,959,2648,3607,Montgomery County
IN,1314,5724,7038,Morgan County
IN,1689,5760,7449,New Madrid County
IN,999,4393,5392,Newton County
IN,1176,3128,4304,Nodaway County
IN,21526,55278,76804,Oregon County
IN,2635,6917,9552,Osage County
MS,1549,8742,10291,Ozark County
IN,1409,8726,10135,Pemiscot County
MS,323,10551,10874,Perry County
IN,2053,8672,10725,Pettis County
IN,890,2548,3438,Phelps County
IN,2433,6901,9334,Pike County
IN,1203,6164,7367,Platte County
IN,1327,3870,5197,Polk County
IN,451,2039,2490,Pulaski County
IN,7057,24365,31422,Putnam County
IN,492,2268,2760,Ralls County
IN,687,1564,2251,Randolph County
MS,415,3986,4401,Ray County
IN,382,4101,4483,Reynolds County
MS,110,6523,6633,Ripley County
