Total SNAP,CountyState,Life Expectancy
6806,Emmet County Iowa,79.61
8657,Fayette County Iowa,79.84
7665,Floyd County Iowa,79.70
553,Franklin County Iowa,80.12
2404,Fremont County Iowa,78.69
9550,Greene County Iowa,79.98
2438,Grundy County Iowa,81.21
4289,Guthrie County Iowa,80.06
6914,Hamilton County Iowa,80.38
3749,Hancock County Iowa,80.73
5745,Hardin County Iowa,79.68
7095,Harrison County Iowa,78.05
7391,Henry County Iowa,79.53
25149,Howard County Iowa,80.29
5633,Humboldt County Iowa,80.39
7629,Ida County Iowa,79.43
8979,Iowa County Iowa,80.74
9275,Jackson County Iowa,79.31
27033,Jasper County Iowa,79.65
6931,Jefferson County Iowa,80.28
8927,Johnson County Iowa,81.84
10277,Jones County Iowa,80.65
10573,Keokuk County Iowa,80.31
28331,Kossuth County Iowa,81.23
7364,Lee County Iowa,77.63
9360,Linn County Iowa,80.34
10710,Louisa County Iowa,79.29
11006,Lucas County Iowa,79.11
28764,Lyon County Iowa,80.90
24084,Madison County Iowa,79.57
26080,Mahaska County Iowa,80.10
27430,Marion County Iowa,79.39
27726,Marshall County Iowa,77.57
45484,Mills County Iowa,77.80
6375,Mitchell County Iowa,81.29
7970,Monona County Iowa,78.02
6924,Monroe County Iowa,77.94
8123,Montgomery County Iowa,78.40
7822,Muscatine County Iowa,78.99
9417,O'Brien County Iowa,80.25
8371,Osceola County Iowa,80.19
9570,Page County Iowa,78.76
7028,Palo Alto County Iowa,79.56
8623,Plymouth County Iowa,80.68
7577,Pocahontas County Iowa,79.74
8776,Polk County Iowa,78.96
8104,Pottawattamie County Iowa,78.02
9699,Poweshiek County Iowa,79.85
8653,Ringgold County Iowa,79.54
9852,Sac County Iowa,79.84
18453,Scott County Iowa,79.00
79673,Shelby County Iowa,80.87
40116,Sioux County Iowa,82.62
3712,Story County Iowa,82.01
4438,Tama County Iowa,79.60
28656,Taylor County Iowa,79.64
12749,Union County Iowa,78.74
9358,Van Buren County Iowa,78.58
8165,Wapello County Iowa,77.82
5099,Warren County Iowa,79.88
4571,Washington County Iowa,80.43
18786,Wayne County Iowa,78.40
4711,Webster County Iowa,77.86
4183,Winnebago County Iowa,80.65
18398,Winneshiek County Iowa,82.51
18886,Woodbury County Iowa,78.27
18358,Worth County Iowa,79.68
32573,Wright County Iowa,80.19
17944,Allen County Kansas,76.72
3670,Anderson County Kansas,78.70
3429,Atchison County Kansas,77.64
14891,Barber County Kansas,77.72
3509,Barton County Kansas,78.60
3268,Bourbon County Kansas,77.14
14730,Brown County Kansas,77.85
14533,Butler County Kansas,78.02
14292,Chase County Kansas,78.25
25754,Chautauqua County Kansas,77.29
8070,Cherokee County Kansas,75.22
1359,Cheyenne County Kansas,80.01
4673,Clark County Kansas,78.62
3863,Clay County Kansas,79.87
101625,Cloud County Kansas,78.60
32346,Coffey County Kansas,77.91
1700,Comanche County Kansas,77.04
6979,Cowley County Kansas,76.67
5036,Crawford County Kansas,76.85
34748,Decatur County Kansas,79.22
12165,Dickinson County Kansas,78.69
2812,Doniphan County Kansas,78.95
20534,Douglas County Kansas,80.47
3063,Edwards County Kansas,77.96
1110,Elk County Kansas,77.40
8170,Ellis County Kansas,79.67
4136,Ellsworth County Kansas,78.77
5788,Finney County Kansas,79.18
7011,Ford County Kansas,78.29
18953,Franklin County Kansas,77.94
21918,Geary County Kansas,76.80
14926,Gove County Kansas,79.64
2824,Graham County Kansas,79.73
3905,Grant County Kansas,78.16
26934,Gray County Kansas,79.24
2677,Greeley County Kansas,78.22
3703,Greenwood County Kansas,77.04
6183,Hamilton County Kansas,77.65
13416,Harper County Kansas,77.17
23541,Harvey County Kansas,79.34
26309,Haskell County Kansas,79.18
15684,Hodgeman County Kansas,79.84
3364,Jackson County Kansas,78.66
9680,Jefferson County Kansas,78.84
5527,Jewell County Kansas,79.85
5001,Johnson County Kansas,81.49
6584,Kearny County Kansas,77.72
22906,Kingman County Kansas,78.73
5821,Kiowa County Kansas,79.33
1668,Labette County Kansas,76.47
1142,Lane County Kansas,78.27
2725,Leavenworth County Kansas,78.63
19047,Lincoln County Kansas,79.16
5271,Linn County Kansas,77.54
1118,Logan County Kansas,78.80
592,Lyon County Kansas,78.90
2175,Marion County Kansas,79.58
18497,Marshall County Kansas,80.09
6787,Mcpherson County Kansas,79.59
2634,Meade County Kansas,79.11
2108,Miami County Kansas,78.84
3691,Mitchell County Kansas,79.07
20013,Montgomery County Kansas,76.33
22516,Morris County Kansas,79.80
18363,Morton County Kansas,77.82
17837,Nemaha County Kansas,80.11
19420,Neosho County Kansas,77.46
35742,Ness County Kansas,79.45
13749,Norton County Kansas,79.33
8794,Osage County Kansas,77.87
12063,Osborne County Kansas,79.30
28166,Ottawa County Kansas,78.16
10002,Pawnee County Kansas,78.82
9114,Phillips County Kansas,78.40
4159,Pottawatomie County Kansas,79.74
7428,Pratt County Kansas,78.51
23531,Rawlins County Kansas,80.09
5367,Reno County Kansas,78.62
12605,Republic County Kansas,79.56
7650,Rice County Kansas,77.57
10919,Riley County Kansas,81.33
27022,Rooks County Kansas,78.57
8858,Rush County Kansas,79.27
26656,Russell County Kansas,78.85
21701,Saline County Kansas,78.46
24970,Scott County Kansas,78.42
41073,Sedgwick County Kansas,77.79
22909,Seward County Kansas,78.30
10346,Shawnee County Kansas,78.00
5391,Sheridan County Kansas,79.90
8660,Sherman County Kansas,78.30
24763,Smith County Kansas,79.65
6599,Stafford County Kansas,77.97
1174,Stanton County Kansas,78.55
2727,Stevens County Kansas,78.99
2679,Sumner County Kansas,77.27
4232,Thomas County Kansas,79.24
2869,Trego County Kansas,78.76
8268,Wabaunsee County Kansas,78.99
32424,Wallace County Kansas,79.42
3996,Washington County Kansas,80.20
5084,Wichita County Kansas,79.32
15509,Wilson County Kansas,76.50
14906,Woodson County Kansas,77.10
25331,Wyandotte County Kansas,75.19
4944,Adair County Kentucky,76.84
10034,Allen County Kentucky,76.03
74671,Anderson County Kentucky,77.27
68160,Ballard County Kentucky,75.71
166057,Barren County Kentucky,76.71
15314,Bath County Kentucky,74.67
29160,Bell County Kentucky,72.85
396150,Boone County Kentucky,78.70
17610,Bourbon County Kentucky,76.87
15101,Boyd County Kentucky,75.95
15072,Boyle County Kentucky,77.01
12563,Bracken County Kentucky,75.37
5709,Breathitt County Kentucky,70.88
8308,Breckinridge County Kentucky,76.29
7896,Bullitt County Kentucky,78.41
10495,Butler County Kentucky,75.83
4550,Caldwell County Kentucky,75.62
9871,Calloway County Kentucky,77.56
15068,Campbell County Kentucky,77.52
14568,Carlisle County Kentucky,76.62
19765,Carroll County Kentucky,74.25
698,Carter County Kentucky,75.07
1775,Casey County Kentucky,75.21
1712,Christian County Kentucky,75.66
2789,Clark County Kentucky,76.06
7080,Clay County Kentucky,72.10
917,Clinton County Kentucky,74.47
3281,Crittenden County Kentucky,75.34
3209,Cumberland County Kentucky,74.25
5573,Daviess County Kentucky,77.41
2760,Edmonson County Kentucky,77.57
41524,Elliott County Kentucky,75.75
9128,Estill County Kentucky,73.77
18139,Fayette County Kentucky,78.38
18151,Fleming County Kentucky,74.75
27162,Floyd County Kentucky,72.18
3586,Franklin County Kentucky,76.89
1885,Fulton County Kentucky,73.18
8956,Gallatin County Kentucky,73.65
1950,Garrard County Kentucky,77.72
249,Grant County Kentucky,75.61
7320,Graves County Kentucky,76.15
8754,Grayson County Kentucky,75.18
7053,Green County Kentucky,77.32
14124,Greenup County Kentucky,76.11
3764,Hancock County Kentucky,77.16
2441,Hardin County Kentucky,77.16
11138,Harlan County Kentucky,71.77
4067,Harrison County Kentucky,75.82
2488,Hart County Kentucky,75.69
1165,Henderson County Kentucky,76.47
9862,Henry County Kentucky,76.17
2791,Hickman County Kentucky,76.63
11138,Hopkins County Kentucky,75.24
9815,Jackson County Kentucky,73.52
18512,Jefferson County Kentucky,76.97
11441,Jessamine County Kentucky,77.59
4113,Johnson County Kentucky,73.80
2790,Kenton County Kentucky,76.90
11487,Knott County Kentucky,73.31
4416,Knox County Kentucky,73.53
5419,Larue County Kentucky,76.84
5469,Laurel County Kentucky,75.46
5515,Lawrence County Kentucky,73.68
5565,Lee County Kentucky,72.25
13458,Leslie County Kentucky,71.73
3807,Letcher County Kentucky,72.64
27992,Lewis County Kentucky,74.90
40389,Lincoln County Kentucky,75.54
55574,Livingston County Kentucky,75.54
89884,Logan County Kentucky,75.95
149247,Lyon County Kentucky,76.72
89754,Madison County Kentucky,77.24
63757,Magoffin County Kentucky,73.00
159656,Marion County Kentucky,76.70
37762,Marshall County Kentucky,76.81
150462,Martin County Kentucky,72.70
50859,Mason County Kentucky,75.28
54680,Mccracken County Kentucky,76.29
76270,Mccreary County Kentucky,73.03
19,Mclean County Kentucky,75.69
4993,Meade County Kentucky,77.31
77210,Menifee County Kentucky,74.94
40108,Mercer County Kentucky,76.18
132483,Metcalfe County Kentucky,74.83
200774,Monroe County Kentucky,73.94
100010,Montgomery County Kentucky,76.13
79925,Morgan County Kentucky,75.76
2359,Muhlenberg County Kentucky,75.28
2910,Nelson County Kentucky,77.29
28240,Nicholas County Kentucky,74.27
12105,Ohio County Kentucky,76.18
2934,Oldham County Kentucky,79.43
3485,Owen County Kentucky,76.75
28815,Owsley County Kentucky,70.86
12680,Pendleton County Kentucky,75.74
25549,Perry County Kentucky,70.85
26100,Pike County Kentucky,72.61
51430,Powell County Kentucky,72.08
35295,Pulaski County Kentucky,75.56
11766,Robertson County Kentucky,75.26
12317,Rockcastle County Kentucky,74.50
37647,Rowan County Kentucky,75.98
21512,Russell County Kentucky,75.73
16765,Scott County Kentucky,78.13
12492,Shelby County Kentucky,78.30
13107,Simpson County Kentucky,75.97
8834,Spencer County Kentucky,77.62
3385,Taylor County Kentucky,76.25
95944,Todd County Kentucky,75.82
6076,Trigg County Kentucky,76.41
1249,Trimble County Kentucky,76.45
826,Union County Kentucky,75.45
885,Warren County Kentucky,77.23
462,Washington County Kentucky,77.69
6913,Wayne County Kentucky,75.95
2595,Webster County Kentucky,75.39
4932,Whitley County Kentucky,73.07
4616,Wolfe County Kentucky,71.62
6953,Woodford County Kentucky,78.11
9436,Acadia Parish Louisiana,74.21
6566,Allen Parish Louisiana,76.97
6749,Ascension Parish Louisiana,77.19
3879,Assumption Parish Louisiana,76.65
1908,Avoyelles Parish Louisiana,74.18
2765,Beauregard Parish Louisiana,75.37
2647,Bienville Parish Louisiana,73.98
3504,Bossier Parish Louisiana,77.07
5826,Caddo Parish Louisiana,74.99
7915,Calcasieu Parish Louisiana,75.14
8104,Caldwell Parish Louisiana,73.42
10193,Cameron Parish Louisiana,78.16
2096,Catahoula Parish Louisiana,73.43
1213,Claiborne Parish Louisiana,75.57
1216,Concordia Parish Louisiana,74.00
333,De Soto Parish Louisiana,74.78
1308,East Baton Rouge Parish Louisiana,76.32
13966,East Carroll Parish Louisiana,72.13
7430,East Feliciana Parish Louisiana,73.11
13969,Evangeline Parish Louisiana,73.93
26627,Franklin Parish Louisiana,73.89
20091,Grant Parish Louisiana,74.93
7590,Iberia Parish Louisiana,75.43
20248,Iberville Parish Louisiana,74.97
13712,Jackson Parish Louisiana,75.11
1025,Jefferson Davis Parish Louisiana,74.83
8639,Jefferson Parish Louisiana,77.04
11456,Lasalle Parish Louisiana,74.85
7272,Lafayette Parish Louisiana,77.11
8198,Lafourche Parish Louisiana,76.89
15812,Lincoln Parish Louisiana,77.38
18629,Livingston Parish Louisiana,75.82
14445,Madison Parish Louisiana,71.79
10459,Morehouse Parish Louisiana,73.04
18073,Natchitoches Parish Louisiana,75.41
20890,Orleans Parish Louisiana,75.22
16706,Ouachita Parish Louisiana,75.53
7188,Plaquemines Parish Louisiana,76.54
14802,Pointe Coupee Parish Louisiana,75.99
17619,Rapides Parish Louisiana,75.25
13435,Red River Parish Louisiana,74.18
7463,Richland Parish Louisiana,74.20
1687,Sabine Parish Louisiana,75.46
4503,Saint Bernard Parish Louisiana,74.19
2905,Saint Charles Parish Louisiana,76.84
2498,Saint Helena Parish Louisiana,74.77
21651,Saint James Parish Louisiana,76.42
8056,Saint John The Baptist Parish Louisiana,74.97
5747,Saint Landry Parish Louisiana,74.20
19899,Saint Martin Parish Louisiana,76.11
39052,Saint Mary Parish Louisiana,75.01
25457,Saint Tammany Parish Louisiana,77.64
23148,Tangipahoa Parish Louisiana,74.18
7947,Tensas Parish Louisiana,74.25
27100,Terrebonne Parish Louisiana,75.36
13505,Union Parish Louisiana,75.20
11196,Vermilion Parish Louisiana,76.51
5598,Vernon Parish Louisiana,76.16
24751,Washington Parish Louisiana,73.01
11156,Webster Parish Louisiana,74.14
8847,West Baton Rouge Parish Louisiana,75.98
108435,West Carroll Parish Louisiana,75.26
35774,West Feliciana Parish Louisiana,76.81
12062,Winn Parish Louisiana,74.45
15333,Androscoggin County Maine,78.07
20006,Aroostook County Maine,78.59
70165,Cumberland County Maine,80.21
20088,Franklin County Maine,79.21
24761,Hancock County Maine,79.66
74920,Kennebec County Maine,78.29
66963,Knox County Maine,80.00
71636,Lincoln County Maine,80.00
121795,Oxford County Maine,78.52
98013,Penobscot County Maine,78.46
48925,Piscataquis County Maine,77.91
53644,Sagadahoc County Maine,79.86
4556,Somerset County Maine,77.79
28216,Waldo County Maine,79.12
3938,Washington County Maine,77.16
6831,York County Maine,80.05
10708,Allegany County Maryland,77.52
6835,Anne Arundel County Maryland,79.11
9728,Baltimore City Maryland,72.48
13605,Baltimore County Maryland,78.99
10524,Calvert County Maryland,79.02
13417,Caroline County Maryland,76.60
17294,Carroll County Maryland,79.16
7498,Cecil County Maryland,76.98
5175,Charles County Maryland,78.18
5428,Dorchester County Maryland,76.95
3105,Frederick County Maryland,80.40
8031,Garrett County Maryland,78.60
4023,Harford County Maryland,79.32
8490,Howard County Maryland,82.37
4338,Kent County Maryland,78.76
330,Montgomery County Maryland,80.68
4797,Prince George'S County Maryland,80.68
8800,Queen Anne'S County Maryland,79.76
4792,Saint Mary'S County Maryland,78.66
9259,Somerset County Maryland,76.62
6146,Talbot County Maryland,80.22
28208,Washington County Maryland,78.15
30180,Wicomico County Maryland,77.07
16402,Worcester County Maryland,78.99
17115,Barnstable County Massachusetts,80.60
3337,Berkshire County Massachusetts,80.13
38240,Bristol County Massachusetts,79.29
24538,Dukes County Massachusetts,81.64
25403,Essex County Massachusetts,80.47
11701,Franklin County Massachusetts,80.20
11426,Hampden County Massachusetts,78.72
69527,Hampshire County Massachusetts,80.59
47732,Middlesex County Massachusetts,81.33
54300,Nantucket County Massachusetts,81.17
48168,Norfolk County Massachusetts,81.31
26373,Plymouth County Massachusetts,79.40
32941,Suffolk County Massachusetts,79.21
54984,Worcester County Massachusetts,79.65
33189,Alcona County Michigan,78.08
39757,Alger County Michigan,79.18
16346,Allegan County Michigan,79.03
8887,Alpena County Michigan,78.49
12111,Antrim County Michigan,79.78
15174,Arenac County Michigan,77.08
8860,Baraga County Michigan,77.77
1401,Barry County Michigan,79.20
4625,Bay County Michigan,78.40
7688,Benzie County Michigan,79.54
12041,Berrien County Michigan,77.92
4582,Branch County Michigan,77.81
7806,Calhoun County Michigan,76.46
10869,Cass County Michigan,78.23
14996,Charlevoix County Michigan,79.84
7537,Cheboygan County Michigan,79.11
10761,Chippewa County Michigan,79.48
13824,Clare County Michigan,76.20
2783,Clinton County Michigan,80.51
2216,Crawford County Michigan,77.83
5613,Delta County Michigan,79.47
7287,Dickinson County Michigan,79.64
2113,Eaton County Michigan,79.55
1546,Emmet County Michigan,79.95
4943,Genesee County Michigan,76.43
6617,Gladwin County Michigan,77.55
5520,Gogebic County Michigan,78.42
4953,Grand Traverse County Michigan,80.37
8350,Gratiot County Michigan,78.26
10024,Hillsdale County Michigan,78.34
7200,Houghton County Michigan,78.87
6633,Huron County Michigan,78.53
10030,Ingham County Michigan,78.90
11704,Ionia County Michigan,78.33
4333,Iosco County Michigan,77.48
6168,Iron County Michigan,79.11
6240,Isabella County Michigan,78.94
8075,Jackson County Michigan,77.99
6343,Kalamazoo County Michigan,78.76
2062,Kalkaska County Michigan,77.77
2619,Kent County Michigan,79.79
4776,Keweenaw County Michigan,79.67
28758,Lake County Michigan,76.73
4640,Lapeer County Michigan,78.49
6797,Leelanau County Michigan,82.73
30779,Lenawee County Michigan,78.77
26194,Livingston County Michigan,80.05
28351,Luce County Michigan,78.30
52333,Mackinac County Michigan,78.78
1575,Macomb County Michigan,78.73
3677,Manistee County Michigan,78.73
11607,Marquette County Michigan,79.28
3500,Mason County Michigan,78.62
5602,Mecosta County Michigan,79.00
13532,Menominee County Michigan,79.46
11307,Midland County Michigan,80.43
13409,Missaukee County Michigan,78.47
21339,Monroe County Michigan,78.38
2325,Montcalm County Michigan,77.81
12998,Montmorency County Michigan,77.32
60570,Muskegon County Michigan,77.59
6532,Newaygo County Michigan,77.91
13163,Oakland County Michigan,79.89
4962,Oceana County Michigan,78.71
13270,Ogemaw County Michigan,76.69
19901,Ontonagon County Michigan,78.25
11700,Osceola County Michigan,78.22
5156,Oscoda County Michigan,77.31
11787,Otsego County Michigan,78.97
3586,Ottawa County Michigan,81.45
1619,Presque Isle County Michigan,79.42
1751,Roscommon County Michigan,77.12
794,Saginaw County Michigan,77.58
14754,Saint Clair County Michigan,77.71
14069,Saint Joseph County Michigan,77.35
28029,Sanilac County Michigan,78.27
7942,Schoolcraft County Michigan,78.49
26172,Shiawassee County Michigan,77.84
25269,Tuscola County Michigan,78.01
43499,Van Buren County Michigan,77.51
4790,Washtenaw County Michigan,80.73
62374,Wayne County Michigan,75.16
58474,Wexford County Michigan,77.77
116058,Aitkin County Minnesota,80.15
38333,Anoka County Minnesota,80.84
92301,Becker County Minnesota,78.82
11113,Beltrami County Minnesota,78.39
11759,Benton County Minnesota,79.41
11650,Big Stone County Minnesota,79.79
12296,Blue Earth County Minnesota,80.89
55045,Brown County Minnesota,81.35
1556,Carlton County Minnesota,78.47
802,Carver County Minnesota,82.48
691,Cass County Minnesota,78.62
6815,Chippewa County Minnesota,80.63
8291,Chisago County Minnesota,80.15
705,Clay County Minnesota,80.56
594,Clearwater County Minnesota,78.51
6718,Cook County Minnesota,81.66
8194,Cottonwood County Minnesota,81.13
6556,Crow Wing County Minnesota,80.33
6445,Dakota County Minnesota,81.57
12569,Dodge County Minnesota,81.49
14045,Douglas County Minnesota,81.37
8177,Faribault County Minnesota,80.41
8066,Fillmore County Minnesota,81.01
14190,Freeborn County Minnesota,80.75
15666,Goodhue County Minnesota,80.37
4067,Grant County Minnesota,80.17
7031,Hennepin County Minnesota,80.70
6820,Houston County Minnesota,81.55
9784,Hubbard County Minnesota,80.45
960,Isanti County Minnesota,80.35
14109,Itasca County Minnesota,79.18
25331,Jackson County Minnesota,81.58
6890,Kanabec County Minnesota,79.87
6027,Kandiyohi County Minnesota,81.11
38867,Kittson County Minnesota,79.04
23653,Koochiching County Minnesota,78.99
8572,Lac Qui Parle County Minnesota,81.04
6134,Lake County Minnesota,79.73
5271,Lake Of The Woods County Minnesota,79.92
38111,Le Sueur County Minnesota,81.26
22897,Lincoln County Minnesota,80.38
7816,Lyon County Minnesota,80.70
34897,Mahnomen County Minnesota,76.68
34034,Marshall County Minnesota,81.68
66874,Martin County Minnesota,81.17
51660,Mcleod County Minnesota,81.07
36579,Meeker County Minnesota,80.55
22062,Mille Lacs County Minnesota,78.63
21199,Morrison County Minnesota,80.22
54039,Mower County Minnesota,81.50
38825,Murray County Minnesota,81.47
23744,Nicollet County Minnesota,81.78
8623,Nobles County Minnesota,81.47
7760,Norman County Minnesota,79.14
40600,Olmsted County Minnesota,82.08
25386,Otter Tail County Minnesota,80.47
10305,Pennington County Minnesota,79.61
33935,Pine County Minnesota,79.22
3121,Pipestone County Minnesota,80.30
4514,Polk County Minnesota,78.88
19277,Pope County Minnesota,80.71
8111,Ramsey County Minnesota,79.89
11706,Red Lake County Minnesota,79.26
18324,Redwood County Minnesota,80.01
33087,Renville County Minnesota,79.60
21921,Rice County Minnesota,80.97
25516,Rock County Minnesota,79.87
7655,Roseau County Minnesota,80.03
22418,Saint Louis County Minnesota,78.98
11252,Scott County Minnesota,81.71
14847,Sherburne County Minnesota,80.69
11783,Sibley County Minnesota,80.80
26546,Stearns County Minnesota,82.06
15380,Steele County Minnesota,81.58
18975,Stevens County Minnesota,81.89
4225,Swift County Minnesota,80.92
7856,Todd County Minnesota,80.56
7777,Traverse County Minnesota,80.90
11408,Wabasha County Minnesota,81.37
12694,Wadena County Minnesota,78.76
101468,Waseca County Minnesota,81.39
22306,Washington County Minnesota,81.69
18370,Watonwan County Minnesota,80.67
18585,Wilkin County Minnesota,79.59
14649,Winona County Minnesota,80.85
103387,Wright County Minnesota,80.94
3397,Yellow Medicine County Minnesota,80.75
4259,Adams County Mississippi,74.07
4058,Alcorn County Mississippi,74.57
4920,Amite County Mississippi,76.34
5937,Attala County Mississippi,73.72
95233,Benton County Mississippi,74.91
15961,Bolivar County Mississippi,71.67
2421,Calhoun County Mississippi,74.86
3976,Carroll County Mississippi,76.91
7092,Chickasaw County Mississippi,75.45
3174,Choctaw County Mississippi,76.42
2979,Claiborne County Mississippi,73.36
2812,Clarke County Mississippi,75.17
2891,Clay County Mississippi,75.22
2724,Coahoma County Mississippi,71.35
9934,Copiah County Mississippi,74.47
23012,Covington County Mississippi,73.84
36409,Desoto County Mississippi,76.88
36851,Forrest County Mississippi,74.56
50248,Franklin County Mississippi,75.11
7012,George County Mississippi,73.39
9001,Greene County Mississippi,75.13
3496,Grenada County Mississippi,73.19
9176,Hancock County Mississippi,76.40
8605,Harrison County Mississippi,75.28
10594,Hinds County Mississippi,75.63
5089,Holmes County Mississippi,71.28
10769,Humphreys County Mississippi,71.96
9164,Issaquena County Mississippi,75.59
11153,Itawamba County Mississippi,74.89
5648,Jackson County Mississippi,75.63
11328,Jasper County Mississippi,75.04
8446,Jefferson County Mississippi,73.42
3169,Jefferson Davis County Mississippi,73.73
6266,Jones County Mississippi,75.23
8693,Kemper County Mississippi,76.51
6660,Lafayette County Mississippi,76.68
9656,Lamar County Mississippi,77.67
33834,Lauderdale County Mississippi,74.69
4906,Lawrence County Mississippi,73.89
59207,Leake County Mississippi,73.17
10667,Lee County Mississippi,74.78
17522,Leflore County Mississippi,72.74
10684,Lincoln County Mississippi,74.66
10676,Lowndes County Mississippi,76.17
3838,Madison County Mississippi,73.67
3708,Marion County Mississippi,72.71
4885,Marshall County Mississippi,73.60
3844,Monroe County Mississippi,75.73
187723,Montgomery County Mississippi,73.78
3897,Neshoba County Mississippi,73.48
2856,Newton County Mississippi,74.56
186735,Noxubee County Mississippi,74.87
179011,Oktibbeha County Mississippi,77.85
177970,Panola County Mississippi,73.14
361849,Pearl River County Mississippi,74.85
5809,Perry County Mississippi,74.38
6304,Pike County Mississippi,73.50
22686,Pontotoc County Mississippi,77.13
8099,Prentiss County Mississippi,75.89
6010,Quitman County Mississippi,71.48
6239,Rankin County Mississippi,77.90
4150,Scott County Mississippi,74.04
15802,Sharkey County Mississippi,72.81
9994,Simpson County Mississippi,74.21
11985,Smith County Mississippi,75.17
12056,Stone County Mississippi,73.97
14047,Sunflower County Mississippi,71.58
7943,Tallahatchie County Mississippi,73.97
37007,Tate County Mississippi,75.04
34336,Tippah County Mississippi,74.28
63400,Tishomingo County Mississippi,74.06
12225,Tunica County Mississippi,71.05
15072,Union County Mississippi,76.26
24953,Walthall County Mississippi,74.57
8215,Warren County Mississippi,74.29
9791,Washington County Mississippi,71.77
5398,Wayne County Mississippi,74.62
23618,Webster County Mississippi,73.41
5641,Wilkinson County Mississippi,72.43
1248,Winston County Mississippi,75.25
19468,Yalobusha County Mississippi,73.59
23644,Yazoo County Mississippi,73.67
19251,Adair County Missouri,78.16
37471,Andrew County Missouri,78.87
6476,Atchison County Missouri,78.30
6759,Audrain County Missouri,77.51
6786,Barry County Missouri,76.90
7069,Barton County Missouri,78.01
5348,Bates County Missouri,76.98
8232,Benton County Missouri,76.70
6265,Bollinger County Missouri,76.45
6167,Boone County Missouri,79.54
4200,Buchanan County Missouri,76.73
8586,Butler County Missouri,74.41
22674,Caldwell County Missouri,77.55
10291,Callaway County Missouri,77.75
13446,Camden County Missouri,78.80
4035,Cape Girardeau County Missouri,78.53
176227,Carroll County Missouri,77.46
35671,Carter County Missouri,74.02
11190,Cass County Missouri,78.19
7772,Cedar County Missouri,76.78
8033,Chariton County Missouri,78.69
4615,Christian County Missouri,79.16
37146,Clark County Missouri,77.36
28740,Clay County Missouri,79.00
29448,Clinton County Missouri,76.76
21042,Cole County Missouri,78.66
334258,Cooper County Missouri,78.01
168724,Crawford County Missouri,76.21
177077,Dade County Missouri,77.09
11543,Dallas County Missouri,77.01
9850,Daviess County Missouri,77.54
5429,Dekalb County Missouri,78.42
11999,Dent County Missouri,76.10
5441,Douglas County Missouri,77.63
1020,Dunklin County Missouri,73.02
7590,Franklin County Missouri,77.17
11799,Gasconade County Missouri,77.64
7378,Gentry County Missouri,78.37
13948,Greene County Missouri,77.97
2083,Grundy County Missouri,77.57
10071,Harrison County Missouri,78.53
18520,Henry County Missouri,76.51
8495,Hickory County Missouri,77.33
16824,Holt County Missouri,79.05
3250,Howard County Missouri,78.61
5463,Howell County Missouri,76.04
5262,Iron County Missouri,73.14
7475,Jackson County Missouri,76.94
9650,Jasper County Missouri,76.40
991,Jefferson County Missouri,76.44
6116,Johnson County Missouri,78.30
6026,Knox County Missouri,77.48
6068,Laclede County Missouri,76.51
5978,Lafayette County Missouri,77.58
5909,Lawrence County Missouri,77.02
3821,Lewis County Missouri,77.49
3659,Lincoln County Missouri,77.23
2514,Linn County Missouri,77.06
11394,Livingston County Missouri,78.05
11279,Macon County Missouri,77.53
20159,Madison County Missouri,75.06
25949,Maries County Missouri,77.42
4109,Marion County Missouri,77.12
3607,Mcdonald County Missouri,75.13
7038,Mercer County Missouri,78.82
7449,Miller County Missouri,76.63
5392,Mississippi County Missouri,73.55
4304,Moniteau County Missouri,78.12
76804,Monroe County Missouri,78.38
9552,Montgomery County Missouri,76.92
10291,Morgan County Missouri,76.26
10135,New Madrid County Missouri,73.82
10874,Newton County Missouri,77.22
10725,Nodaway County Missouri,79.83
3438,Oregon County Missouri,76.10
9334,Osage County Missouri,78.78
7367,Ozark County Missouri,76.33
5197,Pemiscot County Missouri,72.21
2490,Perry County Missouri,78.59
31422,Pettis County Missouri,77.90
2760,Phelps County Missouri,77.27
2251,Pike County Missouri,77.29
4401,Platte County Missouri,80.13
4483,Polk County Missouri,76.63
6633,Pulaski County Missouri,76.49
48233,Putnam County Missouri,77.77
3778,Ralls County Missouri,79.23
32127,Randolph County Missouri,76.54
6973,Ray County Missouri,76.68
1318,Reynolds County Missouri,75.58
11144,Ripley County Missouri,74.51
5161,Saint Charles County Missouri,80.15
10855,Saint Clair County Missouri,76.73
20681,Saint Francois County Missouri,75.06
14698,Saint Louis City Missouri,73.66
4997,Saint Louis County Missouri,79.26
14823,Sainte Genevieve County Missouri,78.58
8840,Saline County Missouri,77.24
7548,Schuyler County Missouri,78.04
8161,Scotland County Missouri,78.00
12507,Scott County Missouri,75.80
4047,Shannon County Missouri,76.19
24702,Shelby County Missouri,78.03
11954,Stoddard County Missouri,76.28
16300,Stone County Missouri,78.91
7840,Sullivan County Missouri,76.94
28495,Taney County Missouri,78.03
24385,Texas County Missouri,77.10
28731,Vernon County Missouri,76.29
20271,Warren County Missouri,78.61
40926,Washington County Missouri,74.18
21164,Wayne County Missouri,74.62
15196,Webster County Missouri,77.72
15684,Worth County Missouri,78.63
9716,Wright County Missouri,76.14
4420,Beaverhead County Montana,79.63
5285,Big Horn County Montana,73.60
5268,Blaine County Montana,76.05
1337,Broadwater County Montana,79.31
860,Carbon County Montana,79.98
7203,Carter County Montana,79.27
7176,Cascade County Montana,78.58
